Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,5712,Thru / Transit * 2,11424,2005,August
200508,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Other,Terminal 1,B,34105,Enplaned,34105,2005,August
200508,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,3923,Enplaned,3923,2005,August
200508,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,11731,Enplaned,11731,2005,August
200508,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,4006,Enplaned,4006,2005,August
200508,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,7737,Enplaned,7737,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,39595,Enplaned,39595,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,8901,Deplaned,8901,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,7541,Deplaned,7541,2005,August
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,1902,Thru / Transit * 2,3804,2005,August
200508,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,5966,Enplaned,5966,2005,August
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,157700,Enplaned,157700,2005,August
200508,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,4866,Enplaned,4866,2005,August
200508,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,3376,Enplaned,3376,2005,August
200508,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,1560,Enplaned,1560,2005,August
200508,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,751,Enplaned,751,2005,August
200508,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,20312,Deplaned,20312,2005,August
200508,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11753,Deplaned,11753,2005,August
200508,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,14610,Deplaned,14610,2005,August
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,97343,Deplaned,97343,2005,August
200508,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,13524,Deplaned,13524,2005,August
200508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,17109,Deplaned,17109,2005,August
200508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,7923,Deplaned,7923,2005,August
200508,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5572,Deplaned,5572,2005,August
200508,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Other,International,A,4691,Deplaned,4691,2005,August
200508,Independence Air,DH,Independence Air,DH,Domestic,US,Deplaned,Low Fare,International,A,9191,Deplaned,9191,2005,August
200508,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,9296,Deplaned,9296,2005,August
200508,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9666,Deplaned,9666,2005,August
200508,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,8856,Deplaned,8856,2005,August
200508,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,21512,Deplaned,21512,2005,August
